keyword_norm,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,recent_freq,early_freq,growth,decline,avg_freq,cv
abattoirs,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,3.4641016136366436
abstracts,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
acaricides,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
acceso a la información,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
access and benefit-sharing,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.46153846153846156,1.6158932854553325
access and benefit-sharing-access and benefit sharing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
access to finance,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
access to information-data access,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,-1.0,0.46153846153846156,1.825741857954976
acción por el clima,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
accountability,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
accounting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
acoustic monitoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
action plans,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,-1.0,1.0,0.8461538461538461,1.4545454543735539
actores involucrados con la tierra,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
adaptabilidad,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
adaptability,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
adaptación,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,3.0,0.6153846153846154,2.669269562574071
adaptación al cambio climático,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.46153846153846156,1.6158932854553327
adaptation,2.0,4.0,0.0,2.0,1.0,2.0,6.0,10.0,0.0,10.0,6.0,4.0,-4.0,3.3076923076923075,1.1581301951267293
adaptive capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,-3.0,0.46153846153846156,3.4641016143871988
adaptive management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.464101614011921
adolescents,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
adopción de la innovacion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
adopción de medidas de defensa contra el cambio climático,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
adopción de tecnología,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
adoption,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
advisory centers,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
advisory services,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,5.0,-5.0,1.0,2.449489742538229
advocacy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
aflatoxins,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
africa,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,-4.0,4.0,1.0769230769230769,2.199257759558734
africa oriental,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
african cassava mosaic virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
african union,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
age,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agent-based models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agreements,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
agri-food system,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
agri-food systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agribusiness,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
agribusiness incubator,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultor,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
agricultora,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
