keyword_norm,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,recent_freq,early_freq,growth,decline
cattle,2.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,8.0
wetlands,2.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,-8.0,8.0
credit,3.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,-6.0,6.0
socioeconomic aspects,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,6.0
transdisciplinary research,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,6.0
nexus approaches,0.0,1.0,6.0,8.0,1.0,0.0,2.0,2.0,0.0,2.0,7.0,-5.0,5.0
commercialization,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,-5.0,5.0
consumption,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,-5.0,5.0
land tenure,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,5.0
institutions,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,5.0
food prices,0.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,6.0,-5.0,5.0
africa,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,-4.0,4.0
circular economy,0.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,-4.0,4.0
solar powered irrigation systems,0.0,1.0,5.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,6.0,-4.0,4.0
food losses,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,-4.0,4.0
gender analysis,0.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,-4.0,4.0
transformation,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,5.0,-4.0,4.0
risk reduction,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,-4.0,4.0
water resources,2.0,3.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,-4.0,4.0
migration,0.0,3.0,2.0,7.0,3.0,1.0,1.0,2.0,0.0,2.0,5.0,-3.0,3.0
