keyword_norm,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,recent_freq,early_freq,growth
climate services,0.0,0.0,0.0,10.0,4.0,0.0,5.0,21.0,0.0,21.0,0.0,21.0
natural resources,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.0,0.0,19.0,1.0,18.0
artificial intelligence,0.0,0.0,0.0,3.0,1.0,1.0,0.0,17.0,0.0,17.0,0.0,17.0
climate finance,1.0,0.0,0.0,0.0,0.0,1.0,7.0,17.0,0.0,17.0,1.0,16.0
climate action,1.0,0.0,0.0,0.0,3.0,0.0,8.0,17.0,0.0,17.0,1.0,16.0
nature conservation,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0
climate-smart agriculture-climate smart agriculture,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,14.0,0.0,14.0
finance,0.0,1.0,1.0,4.0,1.0,1.0,6.0,14.0,0.0,14.0,2.0,12.0
evaluation,0.0,1.0,1.0,9.0,1.0,9.0,26.0,12.0,1.0,13.0,2.0,11.0
scaling of innovations,0.0,1.0,1.0,4.0,1.0,1.0,1.0,12.0,0.0,12.0,2.0,10.0
biodiversity conservation,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
cropping systems,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,8.0
mixed farming,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0
agricultural mechanization,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0
cgiar,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0
pastoralism,1.0,0.0,0.0,5.0,2.0,0.0,1.0,8.0,0.0,8.0,1.0,7.0
agricultural research,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
fragility,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0,6.0
subsidies,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,6.0
wheat,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,6.0
forecasting,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
chickens,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,5.0
agricultural extension,0.0,0.0,1.0,5.0,1.0,3.0,1.0,6.0,0.0,6.0,1.0,5.0
advisory services,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,5.0
swine,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,5.0
irrigation schemes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
education,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
digital agriculture,0.0,0.0,2.0,2.0,8.0,0.0,5.0,4.0,3.0,7.0,2.0,5.0
forage,0.0,1.0,1.0,8.0,0.0,1.0,0.0,7.0,0.0,7.0,2.0,5.0
poultry,1.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,1.0,6.0,1.0,5.0
investment analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
land-use change,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,5.0
agroforestry,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,6.0,2.0,4.0
digital innovation,0.0,0.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0
indicators,0.0,1.0,1.0,9.0,2.0,1.0,1.0,6.0,0.0,6.0,2.0,4.0
irrigation,0.0,1.0,0.0,5.0,0.0,3.0,0.0,4.0,1.0,5.0,1.0,4.0
potatoes,0.0,1.0,0.0,3.0,9.0,2.0,1.0,5.0,0.0,5.0,1.0,4.0
prices,1.0,1.0,0.0,4.0,2.0,2.0,3.0,5.0,1.0,6.0,2.0,4.0
market segmentation,0.0,1.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,5.0,1.0,4.0
participatory approaches,0.0,0.0,1.0,4.0,5.0,0.0,2.0,4.0,1.0,5.0,1.0,4.0
social protection,1.0,0.0,0.0,4.0,1.0,2.0,0.0,5.0,0.0,5.0,1.0,4.0
water governance,0.0,0.0,1.0,6.0,1.0,2.0,1.0,5.0,0.0,5.0,1.0,4.0
impact assessment,0.0,1.0,1.0,6.0,1.0,0.0,1.0,5.0,0.0,5.0,2.0,3.0
displacement,1.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0
